page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
6.0,126.916664,1.3333334,1.3333334,2.0,2.2,1.0,0.0,1.0,0.04736111,2.6666667,0.045740884,7.1666665,0.0
8.0,52.75,1.5,1.875,1.875,2.0,0.0,0.0,1.0,0.027708333,3.375,0.048203077,9.625,0.12330851
6.0,97.25,1.0,1.1666666,2.0,2.2,1.0,0.0,1.0,0.04451389,2.1666667,0.05325048,6.1666665,0.0
6.0,88.75,1.1666666,1.3333334,2.0,2.2,1.0,0.0,1.0,0.027291667,2.5,0.05400216,6.5,0.16337554
6.0,135.83333,1.6666666,1.5,2.0,2.2,1.0,0.0,1.0,0.050069444,3.1666667,0.05450917,9.666667,0.15942968
8.0,49.5625,0.875,0.875,0.875,2.142857,1.0,0.0,1.0,0.024027778,1.75,0.049486987,4.625,0.0
6.0,108.083336,1.5,1.1666666,1.0,1.0,1.0,0.0,1.0,0.03625,2.6666667,0.044429656,8.333333,0.21771301
6.0,121.666664,2.1666667,2.1666667,1.8333334,2.0,1.0,0.0,1.0,0.046597224,4.3333335,0.067946196,11.333333,0.16090837
6.0,64.0,1.0,1.1666666,1.8333334,2.0,0.0,0.0,1.0,0.022083333,2.1666667,0.042041764,6.6666665,0.19422989
7.0,40.642857,1.1428572,0.85714287,1.5714285,1.8333334,1.0,0.0,1.0,0.019513888,2.0,0.07643491,5.571429,0.0
8.0,53.4375,2.0,1.875,1.625,1.7142857,1.0,0.0,1.0,0.024305556,3.875,0.05820668,8.25,0.12322609
6.0,99.666664,1.1666666,1.5,1.8333334,2.2,1.0,0.0,1.0,0.040208332,2.6666667,0.05638134,7.6666665,0.16433181
6.0,92.333336,1.1666666,0.8333333,2.0,2.2,1.0,0.0,1.0,0.027638888,2.0,0.057895258,6.3333335,0.0
6.0,82.25,1.1666666,1.0,2.0,2.2,0.0,0.0,1.0,0.033055555,2.1666667,0.06916331,5.6666665,0.16304456
7.0,43.142857,0.71428573,0.42857143,1.4285715,1.5,0.0,0.0,1.0,0.015694445,1.1428572,0.052404743,3.0,0.0
7.0,51.57143,1.1428572,0.85714287,1.2857143,1.5,1.0,0.0,1.0,0.023055555,2.0,0.06317459,4.571429,0.0
8.0,38.5625,1.25,0.5,1.875,2.0,1.0,0.0,1.0,0.018958334,1.75,0.065838374,4.0,0.112481214
7.0,54.857143,0.85714287,0.71428573,2.0,2.1666667,1.0,0.0,1.0,0.023819445,1.5714285,0.047889117,4.857143,0.1842673
