page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
4.0,57.75,1.75,1.5,0.5,0.33333334,1.0,0.0,1.0,0.0125,3.25,0.06841145,9.5,0.2459256
6.0,105.083336,1.6666666,1.8333334,1.8333334,2.0,1.0,0.0,1.0,0.035416666,3.5,0.038475502,10.333333,0.0
6.0,52.0,1.1666666,0.8333333,1.6666666,1.8,1.0,0.0,1.0,0.020694444,2.0,0.06878403,4.6666665,0.11069853
8.0,55.25,1.25,1.5,1.0,1.0,1.0,0.0,1.0,0.029444445,2.75,0.055425975,6.75,0.12300809
6.0,84.333336,2.0,2.6666667,2.0,2.2,1.0,0.0,1.0,0.03277778,4.6666665,0.060229067,10.0,0.0
6.0,94.166664,1.1666666,1.1666666,1.5,2.0,1.0,0.0,1.0,0.032291666,2.3333333,0.05612653,6.8333335,0.21423219
6.0,164.33333,0.6666667,0.6666667,2.0,2.2,1.0,0.0,1.0,0.056041665,1.3333334,0.04792628,3.8333333,0.1221141
8.0,55.0625,1.375,1.75,1.75,2.0,1.0,0.0,1.0,0.027013889,3.125,0.053166874,7.5,0.12314404
5.0,88.0,1.2,1.0,2.0,2.25,1.0,0.0,1.0,0.026319444,2.2,0.051944148,7.8,0.0
6.0,137.0,0.8333333,0.6666667,1.5,1.8,1.0,0.0,1.0,0.036736112,1.5,0.055271648,4.3333335,0.15879124
6.0,108.166664,1.0,0.8333333,2.0,2.2,1.0,0.0,1.0,0.04451389,1.8333334,0.055986837,3.8333333,0.16053073
8.0,38.8125,1.25,1.0,1.875,2.0,1.0,0.0,1.0,0.022430556,2.25,0.06347445,6.625,0.123530075
9.0,59.666668,1.1111112,1.1111112,1.4444444,1.875,1.0,0.0,1.0,0.035416666,2.2222223,0.05728566,6.111111,0.10945824
5.0,79.6,1.2,1.0,2.0,2.25,1.0,0.0,1.0,0.029861111,2.2,0.051297456,5.6,-0.036421422
6.0,67.916664,0.8333333,0.8333333,1.6666666,1.8,1.0,0.0,1.0,0.023611112,1.6666666,0.05402143,4.5,0.0
6.0,142.5,2.0,1.5,2.0,2.2,1.0,0.0,1.0,0.03263889,3.5,0.06545595,11.0,0.16156296
7.0,33.42857,0.85714287,0.85714287,2.0,2.1666667,1.0,0.0,1.0,0.015069445,1.7142857,0.05503283,4.285714,0.0
7.0,46.57143,0.5714286,0.42857143,2.0,2.1666667,1.0,0.0,1.0,0.019791666,1.0,0.052072484,3.4285715,0.20509243
4.0,78.125,1.5,1.5,0.75,1.0,1.0,0.0,1.0,0.024583334,3.0,0.04830287,7.75,0.25812212
6.0,136.25,1.6666666,1.0,0.6666667,0.8,1.0,0.0,1.0,0.06277778,2.6666667,0.049302716,7.1666665,0.10847189
8.0,33.5,1.0,0.75,1.25,1.7142857,1.0,0.0,1.0,0.018125,1.75,0.0790389,5.25,0.0
6.0,55.583332,1.0,0.8333333,1.5,2.0,0.0,0.0,1.0,0.022083333,1.8333334,0.043175533,5.0,0.1635425
6.0,103.166664,0.5,0.6666667,1.6666666,1.8,1.0,0.0,1.0,0.039722223,1.1666666,0.04862708,3.6666667,0.20420977
5.0,137.2,1.4,1.2,2.0,2.25,1.0,0.0,1.0,0.036041666,2.6,0.04199313,7.4,0.24167259
8.0,55.625,1.625,2.125,1.5,1.7142857,1.0,0.0,1.0,0.02861111,3.75,0.06829844,9.375,0.1902357
6.0,44.833332,1.1666666,0.8333333,0.8333333,2.2,1.0,0.0,1.0,0.013611111,2.0,0.06729817,6.3333335,0.0
6.0,65.833336,1.3333334,1.0,2.0,2.2,0.0,0.0,1.0,0.021597221,2.3333333,0.051656466,6.6666665,0.20330282
6.0,138.83333,2.6666667,2.6666667,1.8333334,2.0,1.0,0.0,1.0,0.04986111,5.3333335,0.053487044,13.666667,0.2326018
6.0,115.666664,1.6666666,1.5,2.0,2.2,1.0,0.0,1.0,0.038472224,3.1666667,0.05472227,9.666667,0.22587639
8.0,40.625,2.0,1.875,2.0,2.142857,1.0,0.0,0.0,0.018541666,3.875,0.043743305,8.0,0.0
8.0,42.25,1.375,0.25,0.375,0.2857143,1.0,0.0,0.0,0.021388888,1.625,0.0661342,3.75,0.19426611
8.0,58.25,1.875,1.875,1.625,1.8571428,0.0,0.0,1.0,0.031527776,3.75,0.054226086,9.375,0.0
6.0,131.58333,1.5,1.6666666,1.8333334,2.2,1.0,0.0,1.0,0.040486112,3.1666667,0.054436825,10.166667,0.0
6.0,131.33333,0.8333333,0.5,2.0,2.2,1.0,0.0,1.0,0.059722222,1.3333334,0.05373781,2.8333333,0.16179785
7.0,60.285713,1.5714285,1.5714285,1.1428572,1.8333334,1.0,0.0,1.0,0.02375,3.142857,0.05858531,9.285714,0.1398367
6.0,79.416664,1.1666666,0.8333333,2.0,2.2,1.0,0.0,1.0,0.029652778,2.0,0.048312716,6.3333335,0.0
6.0,127.0,1.1666666,1.3333334,1.8333334,2.2,1.0,0.0,1.0,0.03625,2.5,0.054947548,7.3333335,0.16379476
