page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
7.0,61.57143,2.0,1.8571428,2.0,2.1666667,1.0,0.0,1.0,0.028680556,3.857143,0.049644906,8.285714,0.19253999
6.0,102.666664,1.3333334,1.6666666,2.0,2.2,1.0,0.0,1.0,0.040555555,3.0,0.05807797,8.166667,0.16015847
6.0,88.333336,1.8333334,2.0,2.0,2.2,1.0,0.0,1.0,0.032708332,3.8333333,0.053902823,10.333333,0.1719188
6.0,104.25,2.0,1.6666666,1.3333334,2.0,1.0,0.0,1.0,0.031875,3.6666667,0.05636078,7.6666665,0.0
7.0,48.214287,1.4285715,0.71428573,1.5714285,1.8333334,1.0,0.0,1.0,0.019930556,2.142857,0.04664356,6.285714,0.1416826
5.0,97.6,1.6,1.6,1.4,1.5,1.0,0.0,1.0,0.019791666,3.2,0.07889195,8.0,0.0
6.0,129.83333,1.8333334,1.8333334,2.0,2.2,1.0,0.0,1.0,0.048541665,3.6666667,0.0594533,9.833333,-0.2241549
6.0,56.5,2.1666667,0.0,2.0,2.2,0.0,0.0,0.0,0.020694444,2.1666667,0.076080464,4.3333335,-0.21431804
6.0,99.666664,1.3333334,1.5,1.1666666,1.4,1.0,0.0,1.0,0.040555555,2.8333333,0.0542858,7.3333335,0.16071887
6.0,125.083336,1.6666666,1.6666666,1.8333334,2.0,1.0,0.0,1.0,0.043055557,3.3333333,0.05564655,9.0,0.16075666
6.0,76.583336,1.3333334,1.3333334,0.8333333,0.8,1.0,0.0,1.0,0.03423611,2.6666667,0.05328324,8.0,0.24077678
8.0,43.1875,0.5,1.625,1.625,2.142857,0.0,0.0,1.0,0.0225,2.125,0.047894455,6.125,0.16865773
7.0,36.785713,1.0,0.85714287,2.0,2.1666667,1.0,0.0,1.0,0.0130555555,1.8571428,0.045351822,5.0,0.0
8.0,39.25,1.125,1.125,1.75,2.142857,0.0,0.0,1.0,0.019375,2.25,0.044955574,6.625,-0.10053534
5.0,231.9,1.4,1.2,2.0,2.25,1.0,0.0,1.0,0.08020833,2.6,0.03731485,8.0,0.09701785
6.0,136.16667,1.5,2.3333333,1.1666666,1.2,1.0,0.0,1.0,0.04826389,3.8333333,0.040195692,10.833333,-0.035238266
6.0,94.333336,1.1666666,0.8333333,2.0,2.2,1.0,0.0,1.0,0.032986112,2.0,0.04387253,5.3333335,0.014625184
7.0,52.357143,1.7142857,0.85714287,2.0,2.1666667,1.0,0.0,1.0,0.019444445,2.5714285,0.049702276,7.142857,0.14211752
8.0,36.4375,0.5,0.375,1.875,2.0,1.0,0.0,0.0,0.017013889,0.875,0.05801362,2.5,0.0
